bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
E000292,N00034884,"Enyart, William",2012,,D, ,,2012,1180462.93,1167686.09,12776.84,70600
P000610,N00035000,"Plaskett, Stacey",2012,,D, ,,2012,68351.76,65953.52,2398.24,18233.1
J000295,N00035007,"Joyce, David P",2012,,R, ,,2012,952654.99,672203.96,280451.03,25000
R000605,N00035187,"Rounds, Mike",2012,,R, ,,2014,269240,16096,253143,0
K000385,N00035215,"Kelly, Robin",2012,,D, ,,2012,200008.1,1540,198468.1,7000
M000087,N00000078,"Maloney, Carolyn B",2014,NY,D,H,1992,2014,1410064.35,1457836.38,476951.06,0
C000380,N00000133,"Christian-Christensen, Donna",2014,VI,D,D,1996,2014,183124.59,125941.99,50692.28,4800
N000015,N00000153,"Neal, Richard E",2014,MA,D,H,1988,2014,1809130.37,1241116.89,2634607.48,0
M000312,N00000179,"McGovern, James P",2014,MA,D,H,1996,2014,874483.18,855086.84,373647.36,0
K000148,N00000245,"Kerry, John",2014,MA,D, ,1984,2014,2368796,5351744,989921,0
C001037,N00000267,"Capuano, Michael E",2014,MA,D,H,1998,2014,870554.73,653147.33,699890.42,0
M000133,N00000270,"Markey, Ed",2014,MA,D,S,2013,2014,18624052,17857729,2227333,0
R000122,N00000362,"Reed, Jack",2014,RI,D,S,1996,2014,3960334.97,4649760.74,1965419,0
C001035,N00000491,"Collins, Susan M",2014,ME,R,S,1996,2014,6228159,5563101,928767,0
S000033,N00000528,"Sanders, Bernie",2014,VT,I,S,2006,2018,8173915,3770071,4445604,0
L000557,N00000575,"Larson, John B",2014,CT,D,H,1998,2014,1880375.76,1659154.41,424071.73,9672.92
D000216,N00000615,"DeLauro, Rosa L",2014,CT,D,H,1990,2014,1244886.07,1236492.14,19365.19,0
L000123,N00000659,"Lautenberg, Frank R",2014,NJ,D, ,2002,2014,434773,491614,182068,1090000
F000372,N00000684,"Frelinghuysen, Rodney",2014,NJ,R,H,1994,2014,1348295.36,1442972.54,147761.58,441079
M000639,N00000699,"Menendez, Robert",2014,NJ,D,S,2006,2018,16754724,15863307,1452705,0
G000548,N00000743,"Garrett, Scott",2014,NJ,R,H,2002,2014,2078660.33,2245456.46,1981421.9,0
P000096,N00000751,"Pascrell, Bill Jr",2014,NJ,D,H,1996,2014,1765754.66,1161104.28,961742.88,80000
P000034,N00000781,"Pallone, Frank Jr",2014,NJ,D,H,1988,2014,3170209,3164507,5702,0
A000210,N00000826,"Andrews, Robert E",2014,NJ,D, ,1990,2014,767315.51,691459.58,567375.25,0
L000554,N00000851,"LoBiondo, Frank A",2014,NJ,R,H,1994,2014,2128409.65,2425939.83,393160.22,33251.06
H001032,N00000860,"Holt, Rush",2014,NJ,D,H,1998,2014,1710828,1707507,3320,0
L000567,N00000898,"Lance, Leonard",2014,NJ,R,H,2008,2014,1188889.59,1031919.89,318474.65,50000
N000002,N00000939,"Nadler, Jerrold",2014,NY,D,H,1992,2014,1143415.71,1276209.66,321502.57,0
R000053,N00000964,"Rangel, Charles B",2014,NY,D,H,1970,2014,1499955.98,1515860.56,3827,135833.9
E000179,N00001003,"Engel, Eliot L",2014,NY,D,H,1988,2014,1237732,1015031.69,273986.6,0
L000480,N00001024,"Lowey, Nita M",2014,NY,D,H,1988,2014,2133891.4,2332093.05,219372.22,0
S000148,N00001093,"Schumer, Charles E",2014,NY,D,S,1998,2016,25578359,22739439,13409983,0
C001038,N00001127,"Crowley, Joseph",2014,NY,D,H,1998,2014,3113565.43,2668960.13,1233257.44,0
M000309,N00001148,"McCarthy, Carolyn",2014,NY,D,H,1996,2014,744688,660195.21,649440.18,0
M001137,N00001171,"Meeks, Gregory W",2014,NY,D,H,1998,2014,1017709.05,882334.02,165427.26,0
